
Standard & Poors 500 Index,Last: 3990.5601,Change:  56.1801
"Date: December 12, 2022 at 6:01 PM EST",Bid: 3962.01,Ask: 4016.6299,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed Dec 14 2022,SPXW221214C03990000,58.3,22.82,57.8,58.4,290,0.5191,0.4953,0.0026,134,3990.00,SPXW221214P03990000,62.87,-17.87,62.2,62.8,99,0.52,-0.5043,0.0026,161
Wed Dec 14 2022,SPXW221214C03995000,55.27,22.62,55.3,55.9,325,0.518,0.4822,0.0026,232,3995.00,SPXW221214P03995000,64.2,-20.15,64.7,65.4,52,0.5189,-0.5175,0.0026,67
Wed Dec 14 2022,SPXW221214C04000000,53.21,22.46,52.8,53.4,872,0.5167,0.469,0.0026,1212,4000.00,SPXW221214P04000000,67.26,-20.19,67.3,68,566,0.5176,-0.5307,0.0026,1449
Wed Dec 14 2022,SPXW221214C04005000,50.81,21.91,50.4,51.1,222,0.5157,0.4558,0.0026,266,4005.00,SPXW221214P04005000,68.8,-21.8,69.8,70.6,58,0.5158,-0.5439,0.0026,31
Thu Dec 15 2022,SPXW221215C03980000,66.6,24.95,66.6,67.6,138,0.4464,0.5244,0.0025,92,3980.00,SPXW221215P03980000,60.08,-17.02,59.6,60.6,60,0.4442,-0.4755,0.0025,56
Thu Dec 15 2022,SPXW221215C03985000,66.7,27.25,64,65,45,0.445,0.512,0.0025,63,3985.00,SPXW221215P03985000,62.85,-17.1,62,63,35,0.4435,-0.4879,0.0025,44
Thu Dec 15 2022,SPXW221215C03990000,62.8,25.45,61.4,62.4,299,0.4447,0.4995,0.0025,183,3990.00,SPXW221215P03990000,65.17,-17.68,64.4,65.4,92,0.4425,-0.5004,0.0025,84
Thu Dec 15 2022,SPXW221215C03995000,59.28,23.98,58.9,59.8,97,0.4435,0.487,0.0025,54,3995.00,SPXW221215P03995000,67.62,-18.18,66.9,67.8,38,0.4417,-0.5129,0.0025,45
Thu Dec 15 2022,SPXW221215C04000000,57.22,23.87,56.7,57.4,2534,0.4426,0.4744,0.0025,2004,4000.00,SPXW221215P04000000,70.8,-18,69.5,70.4,319,0.4408,-0.5255,0.0025,364
Thu Dec 15 2022,SPXW221215C04005000,54.35,22.9,54,55,18,0.4413,0.4618,0.0025,88,4005.00,SPXW221215P04005000,73.4,-18.5,72.1,73,32,0.4402,-0.538,0.0025,121
Fri Dec 16 2022,SPXW221216C03985000,67.2,25.05,67,68,179,0.4011,0.5129,0.0024,310,3985.00,SPXW221216P03985000,65.4,-16.05,64.8,65.6,184,0.3998,-0.487,0.0024,373
Fri Dec 16 2022,SPX221216C03990000,63.34,25.04,62.6,63.9,205,0.4045,0.5006,0.0025,4881,3990.00,SPX221216P03990000,66.3,-17.4,65.2,66.9,122,0.4036,-0.4994,0.0025,4954
Fri Dec 16 2022,SPXW221216C03990000,64.99,25.34,64.5,65.4,523,0.4008,0.5009,0.0024,512,3990.00,SPXW221216P03990000,67.55,-17.4,67.2,68.2,99,0.3992,-0.499,0.0024,388
Fri Dec 16 2022,SPX221216C03995000,60.55,24.25,60.1,61.4,37,0.4044,0.4883,0.0025,9962,3995.00,SPX221216P03995000,68.75,-17.9,67.7,69.4,15,0.4023,-0.5117,0.0025,10051
Fri Dec 16 2022,SPXW221216C03995000,62.1,24.55,62,63,107,0.3995,0.489,0.0024,169,3995.00,SPXW221216P03995000,70.4,-17.55,69.7,70.6,114,0.3985,-0.511,0.0024,271
Fri Dec 16 2022,SPX221216C04000000,58.34,24.04,57.7,58.9,11834,0.4027,0.4759,0.0025,149697,4000.00,SPX221216P04000000,70.96,-18.69,70.2,71.8,10937,0.4019,-0.524,0.0025,159685
Mon Dec 19 2022,SPXW221219C03980000,75.1,28.9,71.5,72.9,113,0.312,0.525,0.0023,76,3980.00,SPXW221219P03980000,64.8,-16.5,64.1,65.4,63,0.3123,-0.4748,0.0023,35
Mon Dec 19 2022,SPXW221219C03985000,70.3,26.3,68.9,70.3,58,0.3127,0.5135,0.0023,55,3985.00,SPXW221219P03985000,65.7,-18.4,66.4,67.8,49,0.3119,-0.4863,0.0023,17
Mon Dec 19 2022,SPXW221219C03990000,67.17,25.27,66.3,67.7,571,0.3121,0.5019,0.0023,68,3990.00,SPXW221219P03990000,68.85,-18.15,68.8,70.2,103,0.3113,-0.4978,0.0023,59
Mon Dec 19 2022,SPXW221219C03995000,66.8,26.95,63.8,65.2,47,0.3116,0.4904,0.0023,60,3995.00,SPXW221219P03995000,70.9,-19,71.3,72.6,24,0.3103,-0.5094,0.0023,39
Mon Dec 19 2022,SPXW221219C04000000,62.4,24.55,61.3,62.7,497,0.3106,0.4788,0.0023,300,4000.00,SPXW221219P04000000,74,-18.9,73.9,75.2,375,0.3096,-0.521,0.0023,252
Mon Dec 19 2022,SPXW221219C04005000,61.7,25.85,58.9,60.3,73,0.3103,0.4671,0.0023,36,4005.00,SPXW221219P04005000,77.1,-18.85,76.4,77.8,32,0.309,-0.5326,0.0023,41
Tue Dec 20 2022,SPXW221220C03980000,70.9,23.2,73,74.7,20,0.2978,0.5257,0.0023,57,3980.00,SPXW221220P03980000,74.57,0,65.1,66.9,0,0.298,-0.474,0.0023,43
Tue Dec 20 2022,SPXW221220C03985000,73.7,28.2,70.3,72.1,9,0.298,0.5144,0.0023,33,3985.00,SPXW221220P03985000,69.8,-15.45,67.5,69.2,14,0.2972,-0.4853,0.0023,17
Tue Dec 20 2022,SPXW221220C03990000,69.6,26.2,67.7,69.5,34,0.2974,0.5031,0.0023,24,3990.00,SPXW221220P03990000,70,-18.1,69.9,71.6,115,0.2966,-0.4967,0.0023,112
Tue Dec 20 2022,SPXW221220C03995000,55.4,14.1,65.2,67,6,0.297,0.4918,0.0023,11,3995.00,SPXW221220P03995000,80.99,0,72.3,74.1,0,0.2962,-0.508,0.0023,26
Tue Dec 20 2022,SPXW221220C04000000,63,23.7,62.7,64.5,299,0.2963,0.4804,0.0023,467,4000.00,SPXW221220P04000000,77.51,-16.49,74.8,76.6,272,0.2955,-0.5194,0.0023,70
Tue Dec 20 2022,SPXW221220C04005000,61.8,24.5,60.3,62.1,13,0.2958,0.4689,0.0023,8,4005.00,SPXW221220P04005000,76.21,-20.79,77.4,79.2,3,0.2946,-0.5308,0.0023,9
Wed Dec 21 2022,SPXW221221C03980000,77.3,28.2,74.4,75.9,25,0.2864,0.5253,0.0022,35,3980.00,SPXW221221P03980000,78.33,-5.57,66.6,68.1,23,0.2865,-0.4745,0.0022,86
Wed Dec 21 2022,SPXW221221C03985000,55.4,0,71.8,73.3,0,0.2866,0.5143,0.0022,14,3985.00,SPXW221221P03985000,69.5,-17.1,68.9,70.4,6,0.2858,-0.4855,0.0022,27
Wed Dec 21 2022,SPXW221221C03990000,69.85,25.15,69.2,70.7,12,0.2862,0.5032,0.0022,93,3990.00,SPXW221221P03990000,88.77,-0.73,71.3,72.8,1,0.285,-0.4966,0.0022,71
Wed Dec 21 2022,SPXW221221C03995000,68.7,26.1,66.6,68.1,28,0.2854,0.492,0.0022,51,3995.00,SPXW221221P03995000,74,-18.4,73.8,75.3,31,0.2844,-0.5078,0.0022,30
Wed Dec 21 2022,SPXW221221C04000000,60.1,19.55,64.1,65.6,751,0.2847,0.4808,0.0022,260,4000.00,SPXW221221P04000000,77.13,-18.17,76.3,77.8,45,0.2835,-0.5189,0.0022,175
Wed Dec 21 2022,SPXW221221C04005000,46.4,0,61.7,63.2,0,0.2843,0.4696,0.0022,68,4005.00,SPXW221221P04005000,86.1,-12.2,78.9,80.4,2,0.2835,-0.5301,0.0022,91
Thu Dec 22 2022,SPXW221222C03980000,77.9,26.2,76.9,78.8,12,0.2786,0.5293,0.0022,29,3980.00,SPXW221222P03980000,69.1,-15.5,67.4,69.2,9,0.278,-0.4708,0.0022,21
Thu Dec 22 2022,SPXW221222C03985000,77.72,28.32,74.3,76.2,17,0.2783,0.5185,0.0022,26,3985.00,SPXW221222P03985000,69.48,-17.87,69.7,71.5,31,0.2773,-0.4816,0.0022,9
Thu Dec 22 2022,SPXW221222C03990000,59.69,12.49,71.6,73.5,2,0.2776,0.5077,0.0022,59,3990.00,SPXW221222P03990000,71.3,-18.8,72,73.9,109,0.2768,-0.4924,0.0022,48
Thu Dec 22 2022,SPXW221222C03995000,70.9,25.8,69.1,70.9,19,0.2769,0.4968,0.0022,11,3995.00,SPXW221222P03995000,87.2,-5.75,74.5,76.3,6,0.2762,-0.5033,0.0022,21
Thu Dec 22 2022,SPXW221222C04000000,68.38,25.38,66.5,68.4,43,0.2766,0.4859,0.0022,243,4000.00,SPXW221222P04000000,90.34,-5.51,76.9,78.8,4,0.2755,-0.5142,0.0022,49
Thu Dec 22 2022,SPXW221222C04005000,57.57,16.57,64,65.9,22,0.2758,0.475,0.0022,100,4005.00,SPXW221222P04005000,89.11,0,79.4,81.3,0,0.2748,-0.5252,0.0022,10
Fri Dec 23 2022,SPXW221223C03980000,82.53,29.03,79,80.6,88,0.2713,0.5301,0.0021,201,3980.00,SPXW221223P03980000,68.4,-17.6,69,70.5,96,0.2714,-0.4701,0.0021,828
Fri Dec 23 2022,SPXW221223C03985000,79.67,28.42,76.3,77.9,61,0.2706,0.5195,0.0021,158,3985.00,SPXW221223P03985000,73,-15.7,71.3,72.8,79,0.2706,-0.4806,0.0021,270
Fri Dec 23 2022,SPXW221223C03990000,75.8,26.8,73.6,75.2,73,0.2705,0.509,0.0021,242,3990.00,SPXW221223P03990000,75.5,-16,73.6,75.2,193,0.2699,-0.4912,0.0021,942
Fri Dec 23 2022,SPXW221223C03995000,70.3,23.45,71,72.6,64,0.2697,0.4983,0.0021,126,3995.00,SPXW221223P03995000,78.7,-15.6,76,77.6,56,0.2692,-0.5018,0.0021,624
Fri Dec 23 2022,SPXW221223C04000000,70.1,24.11,68.5,70.1,745,0.2694,0.4876,0.0021,4022,4000.00,SPXW221223P04000000,79.3,-17.16,78.4,80,1088,0.2686,-0.5125,0.0021,3167
Fri Dec 23 2022,SPXW221223C04005000,66.5,23.85,66,67.6,80,0.2687,0.477,0.0021,166,4005.00,SPXW221223P04005000,81.6,-18.5,80.9,82.5,24,0.2677,-0.5232,0.0021,422
Tue Dec 27 2022,SPXW221227C03980000,79.86,23.86,81.3,83.4,12,0.2396,0.5304,0.002,36,3980.00,SPXW221227P03980000,74.3,-13.9,70.8,72.9,14,0.2397,-0.4695,0.002,51
Tue Dec 27 2022,SPXW221227C03985000,80.9,27.2,78.6,80.7,22,0.2391,0.5201,0.0021,15,3985.00,SPXW221227P03985000,73.68,-17.17,73.1,75.2,2,0.2388,-0.4797,0.0021,27
Tue Dec 27 2022,SPXW221227C03990000,75.4,24,75.9,78,10,0.2388,0.5099,0.0021,46,3990.00,SPXW221227P03990000,77.67,-15.93,75.5,77.6,77,0.2385,-0.49,0.0021,258
Tue Dec 27 2022,SPXW221227C03995000,75.37,26.17,73.3,75.4,38,0.2383,0.4996,0.0021,23,3995.00,SPXW221227P03995000,90.8,0,77.8,79.9,0,0.2376,-0.5003,0.0021,15
Tue Dec 27 2022,SPXW221227C04000000,71.65,24.55,70.8,72.8,248,0.2374,0.4892,0.0021,57,4000.00,SPXW221227P04000000,93.8,-5.45,80.3,82.4,11,0.2371,-0.5107,0.0021,97
Tue Dec 27 2022,SPXW221227C04005000,56.95,0,68.1,70.3,0,0.237,0.4788,0.0021,27,4005.00,SPXW221227P04005000,97.6,-4.55,82.8,84.8,2,0.2364,-0.521,0.0021,5
Wed Dec 28 2022,SPXW221228C03980000,81.99,23.89,83.3,85.3,2,0.2375,0.5308,0.002,84,3980.00,SPXW221228P03980000,76.04,-13.91,72.6,74.5,9,0.2378,-0.469,0.002,15
Wed Dec 28 2022,SPXW221228C03985000,72.4,0,80.6,82.6,0,0.2371,0.5208,0.002,14,3985.00,SPXW221228P03985000,89.1,-3.5,74.9,76.8,3,0.2372,-0.479,0.002,32
Wed Dec 28 2022,SPXW221228C03990000,63.97,0,78,79.9,0,0.2369,0.5108,0.002,45,3990.00,SPXW221228P03990000,89.1,-6.2,77.2,79.1,2,0.2365,-0.489,0.002,131
Wed Dec 28 2022,SPXW221228C03995000,60.2,0,75.3,77.3,0,0.2362,0.5007,0.002,15,3995.00,SPXW221228P03995000,92.7,-5.4,79.6,81.5,4,0.2359,-0.4991,0.002,108
Wed Dec 28 2022,SPXW221228C04000000,59.9,10.8,72.8,74.7,417,0.2356,0.4906,0.002,736,4000.00,SPXW221228P04000000,84.14,-16.76,82,83.9,403,0.2351,-0.5092,0.002,1186
Wed Dec 28 2022,SPXW221228C04005000,55.6,0,70.2,72.2,0,0.2349,0.4805,0.002,25,4005.00,SPXW221228P04005000,98.7,-5.1,84.5,86.4,21,0.2346,-0.5194,0.002,51
Thu Dec 29 2022,SPXW221229C03980000,87.42,26.27,86.7,88.9,4,0.2368,0.5355,0.002,40,3980.00,SPXW221229P03980000,91.59,0.94,73.6,75.7,8,0.2368,-0.465,0.002,19
Thu Dec 29 2022,SPXW221229C03985000,135.4,0,84,86.2,0,0.2362,0.5258,0.002,5,3985.00,SPXW221229P03985000,68.43,0,75.6,77.9,0,0.2362,-0.4747,0.002,3
Thu Dec 29 2022,SPXW221229C03990000,80.94,24.49,81.1,83.5,2,0.2356,0.516,0.002,12,3990.00,SPXW221229P03990000,96.91,0.91,78.1,80.2,12,0.2355,-0.4844,0.002,28
Thu Dec 29 2022,SPXW221229C03995000,54.82,0,78.6,80.8,0,0.2353,0.5062,0.002,8,3995.00,SPXW221229P03995000,88.6,0,80.4,82.6,0,0.2351,-0.4942,0.002,17
Thu Dec 29 2022,SPXW221229C04000000,75.65,23.65,76,78.2,518,0.2346,0.4964,0.002,197,4000.00,SPXW221229P04000000,95.91,-5.54,82.6,85,500,0.2344,-0.5041,0.002,205
Thu Dec 29 2022,SPXW221229C04005000,59,9.2,73.4,75.7,8,0.234,0.4865,0.002,16,4005.00,SPXW221229P04005000,0,0,85,87.4,0,0.2338,-0.5139,0.002,0
Fri Dec 30 2022,SPXW221230C03980000,91.34,27.94,89.2,90.7,71,0.2364,0.5351,0.0019,680,3980.00,SPXW221230P03980000,77.9,-14.9,76,76.9,22,0.2364,-0.4653,0.0019,353
Fri Dec 30 2022,SPXW221230C03985000,87,26,86.4,88,325,0.2357,0.5256,0.0019,301,3985.00,SPXW221230P03985000,79.04,-16.41,78.2,79.7,5,0.236,-0.4748,0.0019,172
Fri Dec 30 2022,SPXW221230C03990000,87.31,28.66,83.7,85.2,23,0.2352,0.5161,0.0019,299,3990.00,SPXW221230P03990000,81.29,-16.81,80.5,82,50,0.2351,-0.4843,0.0019,328
Fri Dec 30 2022,SPXW221230C03995000,81.73,25.33,81.1,82.6,16,0.2351,0.5065,0.0019,304,3995.00,SPXW221230P03995000,96.12,-4.68,82.8,84.3,12,0.2346,-0.4938,0.0019,147
Fri Dec 30 2022,SPXW221230C04000000,79.4,25.25,78.5,80,585,0.2345,0.497,0.0019,13379,4000.00,SPXW221230P04000000,86.67,-16.93,85.2,86.7,65,0.2337,-0.5034,0.0019,9238
Fri Dec 30 2022,SPXW221230C04005000,75.2,23.25,75.9,77.4,16,0.2338,0.4873,0.0019,500,4005.00,SPXW221230P04005000,88.23,-18.17,87.6,89.1,7,0.2333,-0.513,0.0019,191
